x,y,z,u,v,nx,ny,nz
-107.91560167,265.6126425,23.59798634,0.9412,0.7755,0.0,0.0,0.0
-105.12213661,266.76851368,24.69335071,0.9379,0.7774,0.0,0.0,0.0
-106.91593466,267.43952141,19.39270368,0.9379,0.7698,0.0,0.0,0.0
11.33392689,237.93056755,92.08251891,0.8177,0.9145,0.0,0.0,0.0
8.23052603,241.70387966,91.73801318,0.8211,0.9095,0.0,0.0,0.0
5.04607865,240.79063848,92.56932549,0.8259,0.9088,0.0,0.0,0.0
-51.40139017,-164.2408097,43.82676499,0.2862,0.5742,0.0,0.0,0.0
-57.2078151,-164.30644797,37.36220459,0.2894,0.5868,0.0,0.0,0.0
-57.4316324,-165.23544043,40.20581044,0.2851,0.5819,0.0,0.0,0.0
-0.66575086,-111.18814836,51.37634357,0.3513,0.4922,0.0,0.0,0.0
-9.05249048,-111.1441463,52.05410469,0.3532,0.5019,0.0,0.0,0.0
-6.99293913,-111.73841214,53.75586957,0.3505,0.5011,0.0,0.0,0.0
-123.94713788,242.8781194,17.76879898,0.973,0.7635,0.0,0.0,0.0
-125.14469523,239.85258864,15.11370685,0.9763,0.7587,0.0,0.0,0.0
-124.89695756,240.44723518,21.51657077,0.9768,0.767,0.0,0.0,0.0
3.9856778,245.16946282,-75.31988851,0.8179,0.624,0.0,0.0,0.0
8.101956,242.52034484,-74.56814158,0.8149,0.618,0.0,0.0,0.0
5.12992289,241.88068104,-75.49047979,0.8196,0.6204,0.0,0.0,0.0
-7.44599268,-163.87074185,-82.93255548,0.4195,0.477,0.0,0.0,0.0
-8.77170764,-175.55257694,-82.87487216,0.4049,0.4731,0.0,0.0,0.0
-10.7555075,-173.44396741,-82.85293458,0.4063,0.4709,0.0,0.0,0.0
-10.14756933,-153.65842353,-82.95956107,0.4323,0.476,0.0,0.0,0.0
9.30505921,-171.88495545,14.30586284,0.6594,0.8877,0.0,0.0,0.0
10.13368583,-172.39426272,11.93272241,0.6598,0.8841,0.0,0.0,0.0
10.93316049,-173.51880582,11.91449661,0.6608,0.8834,0.0,0.0,0.0
-25.08765817,-221.88699184,64.47749516,0.7637,0.211,0.0,0.0,0.0
-36.41053695,-222.03379758,64.97597641,0.7779,0.2139,0.0,0.0,0.0
-27.27789319,-221.93551467,59.50984972,0.7646,0.2175,0.0,0.0,0.0
-80.8381348,-167.39810873,6.85298294,0.2938,0.6318,0.0,0.0,0.0
-80.36684157,-167.70842324,13.56067895,0.2901,0.6253,0.0,0.0,0.0
-77.68508687,-166.86507143,11.29161812,0.2938,0.6245,0.0,0.0,0.0
-110.35797021,237.97661586,-19.72725184,0.9569,0.713,0.0,0.0,0.0
-107.43020684,239.1556936,-21.8761576,0.9534,0.7107,0.0,0.0,0.0
-108.54330528,237.47692114,-21.31725878,0.9552,0.7099,0.0,0.0,0.0
-45.45507149,183.45675364,-67.00422743,0.9327,0.5859,0.0,0.0,0.0
-41.42049513,184.28828802,-67.16910036,0.9307,0.5813,0.0,0.0,0.0
-45.27821062,183.77154132,-63.45855544,0.9377,0.585,0.0,0.0,0.0
-7.13693725,-169.49464703,-52.33032711,0.5747,0.8532,0.0,0.0,0.0
-5.58774406,-173.48099006,-51.97933765,0.5742,0.8474,0.0,0.0,0.0
-1.86337599,-170.08648594,-50.459807,0.5814,0.8461,0.0,0.0,0.0
-80.68311237,-221.93733883,16.6052663,0.8501,0.2568,0.0,0.0,0.0
-88.56818292,-222.02163119,18.32117244,0.8569,0.2495,0.0,0.0,0.0
-85.34754566,-221.94323961,8.06331936,0.8613,0.2603,0.0,0.0,0.0
34.41830132,85.63537533,25.15652045,0.2429,0.1987,0.0,0.0,0.0
34.41560076,71.91203625,19.22857034,0.2419,0.1802,0.0,0.0,0.0
36.42021297,82.01774393,20.2525979,0.247,0.1917,0.0,0.0,0.0
52.8254852,-3.48819092,18.67099403,0.6755,0.6014,0.0,0.0,0.0
46.11971844,-3.4595753,20.87139086,0.6756,0.5924,0.0,0.0,0.0
49.15697145,-9.17802386,22.93837766,0.6836,0.5954,0.0,0.0,0.0
-91.05718667,3.44899117,-60.20558284,0.457,0.3265,0.0,0.0,0.0
-88.64670932,3.32907205,-52.55801084,0.4471,0.3275,0.0,0.0,0.0
-95.81219378,3.1603089,-56.48708297,0.4537,0.3199,0.0,0.0,0.0
